rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__eta,param_model__gamma,param_model__lambda,params,split0_test_score,split0_train_score
1,1.0,0.0,1.0,0.0,1.919562816619873,0.0,0.00698399543762207,0.0,0.0001,0,0.0001,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 0.0001}",1.0,1.0
1,1.0,0.0,1.0,0.0,1.8392698764801025,0.0,0.006981611251831055,0.0,0.0001,0,0.001,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 0.001}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.5914180278778076,0.0,0.004986763000488281,0.0,0.0001,0,0.01,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 0.01}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.5993962287902832,0.0,0.007978677749633789,0.0,0.0001,0,0.1,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 0.1}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.267284631729126,0.0,0.007978439331054688,0.0,0.0001,0,1,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 1}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.3027193546295166,0.0,0.006981372833251953,0.0,0.0001,0,10,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 10}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.30970096588134766,0.0,0.006714820861816406,0.0,0.0001,0,100,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 100}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.3109009265899658,0.0,0.006981849670410156,0.0,0.0001,0,1000,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 1000}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.3031888008117676,0.0,0.00797891616821289,0.0,0.0001,0,10000,"{'model__eta': 0.0001, 'model__gamma': 0, 'model__lambda': 10000}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.31615447998046875,0.0,0.006981611251831055,0.0,0.0001,10,0.0001,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 0.0001}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.30545759201049805,0.0,0.006981372833251953,0.0,0.0001,10,0.001,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 0.001}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.31244468688964844,0.0,0.0069887638092041016,0.0,0.0001,10,0.01,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 0.01}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.3184068202972412,0.0,0.007498264312744141,0.0,0.0001,10,0.1,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 0.1}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.3148825168609619,0.0,0.008003473281860352,0.0,0.0001,10,1,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 1}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.31389522552490234,0.0,0.006007194519042969,0.0,0.0001,10,10,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 10}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.3059208393096924,0.0,0.0069811344146728516,0.0,0.0001,10,100,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 100}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.30839991569519043,0.0,0.007002830505371094,0.0,0.0001,10,1000,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 1000}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.2799720764160156,0.0,0.006971120834350586,0.0,0.0001,10,10000,"{'model__eta': 0.0001, 'model__gamma': 10, 'model__lambda': 10000}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.27546238899230957,0.0,0.006489753723144531,0.0,0.0001,100,0.0001,"{'model__eta': 0.0001, 'model__gamma': 100, 'model__lambda': 0.0001}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.25493526458740234,0.0,0.005912065505981445,0.0,0.0001,100,0.001,"{'model__eta': 0.0001, 'model__gamma': 100, 'model__lambda': 0.001}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.25783562660217285,0.0,0.007000446319580078,0.0,0.0001,100,0.01,"{'model__eta': 0.0001, 'model__gamma': 100, 'model__lambda': 0.01}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.26491522789001465,0.0,0.007004737854003906,0.0,0.0001,100,0.1,"{'model__eta': 0.0001, 'model__gamma': 100, 'model__lambda': 0.1}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.2609388828277588,0.0,0.006972789764404297,0.0,0.0001,100,1,"{'model__eta': 0.0001, 'model__gamma': 100, 'model__lambda': 1}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.2654099464416504,0.0,0.005491733551025391,0.0,0.0001,100,10,"{'model__eta': 0.0001, 'model__gamma': 100, 'model__lambda': 10}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.2659342288970947,0.0,0.005984067916870117,0.0,0.0001,100,100,"{'model__eta': 0.0001, 'model__gamma': 100, 'model__lambda': 100}",1.0,1.0
1,1.0,0.0,1.0,0.0,0.2669203281402588,0.0,0.0059833526611328125,0.0,0.0001,100,1000,"{'model__eta': 0.0001, 'model__gamma': 100, 'model__lambda': 1000}",1.0,1.0
